n,60,70,80,90,100,110,120,130,140,150,160,170,180,190,200,210,220,230,240,250,260,270,280,290,300,310,320,330,340,350,360,370,380,390,400,410,420,430,440,450,460,470,480,490,500,510,520,530,540,550,560,570,580,590,600,610,620,630,640,650,660,670,680,690,700,710,720,730,740,750,760,770,780,790,800,810,820,830,840,850,860,870,880,890,900,910,920,930,940,950,960,970,980,990,1000
our_tester,-3.536701597,-3.891074383,-4.238985024,-4.581255781,-4.91822155,-5.252404031,-5.579222537,-5.910876605,-6.234071004,-6.565946741,-6.886835438,-7.208176386,-7.526402768,-7.84936926,-8.165925928,-8.482410394,-8.798102192,-9.113037707,-9.432901249,-9.748863809,-10.05850279,-10.37415558,-10.6826898,-10.99776333,-11.30608322,-11.61791652,-11.92733968,-12.23635199,-12.55062595,-12.8543842,-13.16672299,-13.47880178,-13.78149929,-14.08844472,-14.39865196,-14.70388036,-15.01410953,-15.31923073,-15.63051966,-15.9360491,-16.24691713,-16.55093974,-16.85144719,-17.15611568,-17.46354983,-17.76621668,-18.07574159,-18.38009348,-18.69051858,-18.98944926,-19.30003679,-19.59948168,-19.90797716,-20.20902304,-20.52084431,-20.83455452,-21.13354336,-21.45049413,-21.75227114,-22.07183618,-22.38481307,-22.70345975,-23.02772555,-23.38221022,-23.70064453,-24.08619927,-24.48020593,-24.83944861,-25.29993575,-25.80805414,-26.21500865,-26.82062845,-27.36409866,-27.68556235,-28.51484571,-29.38958209,-29.6387214,-29.47048186,-30.35862107,-31.46166397,-30.05822634,-30.17169144,-29.73930651,-30.83347863,-30.74052697,-30.18510621,-29.7792946,-30.81760236,-1.93E-11,-29.47067986,-30.40941322,-30.14557169,-1.64E-10,-31.15059672,-8.00E-10
chi_square,-3.303161793,-3.701867718,-3.918302988,-4.244582243,-4.610007905,-4.828096666,-5.088543797,-5.471273158,-5.655471666,-5.961405319,-6.317810907,-6.516454617,-6.816875558,-7.115737428,-7.363573457,-7.61535388,-7.95521621,-8.17006321,-8.542546605,-8.751580088,-8.987957182,-9.409737335,-9.567843164,-9.804344898,-10.15872159,-10.33432653,-10.6222961,-11.0044592,-11.14941245,-11.43590316,-11.76895751,-11.93312053,-12.3395385,-12.57741417,-12.76844806,-13.14579819,-13.28989705,-13.52702947,-13.91219281,-14.09320326,-14.36777486,-14.70969035,-14.8615392,-15.16286559,-15.50362681,-15.65482245,-15.92843644,-16.30104767,-16.44446425,-16.88292308,-16.97910419,-17.28039086,-17.62165419,-17.75468323,-18.03462988,-18.40517547,-18.50317926,-18.79044635,-19.15336288,-19.34618757,-19.62239693,-19.90730294,-20.10693901,-20.56890791,-20.66209374,-20.89219353,-21.31760341,-21.41397364,-21.69255376,-22.09637318,-22.24565568,-22.45580765,-22.85666188,-23.05664484,-23.36777199,-23.83506641,-23.97471579,-24.51845167,-24.74820009,-25.05826831,-25.47111819,-25.83675288,-26.17160804,-27.02145146,-27.018497,-27.61204244,-27.97220708,-28.26758172,-28.70595821,-29.0834342,-28.89696144,-28.40431574,-28.31850412,-29.04169203,-28.87491538
TV_tester,-3.153012257,-3.565804265,-3.779286326,-4.107667639,-4.399694417,-4.673327578,-4.981884858,-5.231122529,-5.517838341,-5.842430338,-6.060706288,-6.390154848,-6.653477309,-6.896415232,-7.25879047,-7.450886767,-7.727658239,-8.062572735,-8.252704742,-8.577936599,-8.820465317,-9.086302695,-9.412233377,-9.638401101,-9.907787059,-10.17158647,-10.39512953,-10.72738854,-10.95326849,-11.19558772,-11.53056616,-11.73521304,-12.0581922,-12.28365834,-12.54159165,-12.85172821,-13.05530761,-13.31299815,-13.62471343,-13.84343362,-14.12560328,-14.37501269,-14.62958884,-14.95703725,-15.14775655,-15.44641927,-15.71042335,-15.94236343,-16.22452879,-16.48997471,-16.71517534,-17.04620343,-17.2347053,-17.50168714,-17.82972475,-18.01206257,-18.33946937,-18.54058926,-18.81715307,-19.09971531,-19.33236021,-19.61109311,-19.8809284,-20.10927056,-20.39927685,-20.64223136,-20.88560382,-21.19732937,-21.39265328,-21.717782,-21.97430985,-22.20803094,-22.56564391,-22.74643375,-23.05090907,-23.38106024,-23.61020217,-23.89038263,-24.29010451,-24.59390204,-24.84183558,-25.28917237,-25.71194495,-26.15633499,-26.36726451,-26.9190943,-27.34914473,-27.9189174,-28.80300369,-28.62632432,-30.20982663,-29.47932929,-28.79570497,-30.76730283,-30.17702032
