n,50,100,150,200,250,300,350,400,450,500,550,600,650,700,750,800,850,900,950,1000,1050,1100,1150,1200,1250,1300,1350,1400,1450,1500,1550,1600,1650,1700,1750,1800,1850,1900,1950,2000,2050,2100,2150,2200,2250,2300,2350,2400,2450,2500
k,50,100,150,200,250,300,350,400,450,500,550,600,650,700,750,800,850,900,950,1000,1050,1100,1150,1200,1250,1300,1350,1400,1450,1500,1550,1600,1650,1700,1750,1800,1850,1900,1950,2000,2050,2100,2150,2200,2250,2300,2350,2400,2450,2500
our_tester,-1.949341797,-2.723306385,-3.429587575,-4.102859992,-4.756206293,-5.396673243,-6.026621915,-6.649582224,-7.266489039,-7.878721482,-8.487081297,-9.092579176,-9.694920679,-10.29494147,-10.89221982,-11.48813428,-12.08242184,-12.67541127,-13.26775086,-13.85745642,-14.44635731,-15.03459423,-15.62289042,-16.20856455,-16.79539992,-17.38247568,-17.96365674,-18.55079174,-19.1313219,-19.71573961,-20.29858523,-20.88216252,-21.47012699,-22.05480442,-22.64863275,-23.25879701,-23.85752749,-24.45539876,-25.00882996,-25.16590425,,,,,,,,,,
chi_square,-1.910788444,-2.614000908,-3.25531123,-3.87216293,-4.488472431,-5.060229417,-5.628531167,-6.21135861,-6.758205915,-7.316950061,-7.879287597,-8.428239806,-8.989863381,-9.510269654,-10.05157864,-10.61344546,-11.14197481,-11.68336739,-12.24027359,-12.76090564,-13.33129799,-13.82768492,-14.36354459,-14.8981592,-15.41029911,-15.9366677,-16.49844889,-17.00229522,-17.52425625,-18.0858711,-18.58702696,-19.14798223,-19.62917596,-20.17130414,-20.73145332,-21.21769058,-21.7623702,-22.32984098,-22.81478455,-23.4322514,-23.91953475,-24.52132133,-25.15931498,-25.78855871,-26.52023414,-27.42803763,-28.04148299,,,
TV_tester,-1.807682374,-2.449390238,-3.098147089,-3.6525103,-4.228518312,-4.75361593,-5.313134414,-5.820592596,-6.354070617,-6.869696821,-7.378402136,-7.906297033,-8.396131113,-8.927310893,-9.415377709,-9.933754198,-10.41716128,-10.93168877,-11.41220484,-11.91509307,-12.41361165,-12.90867296,-13.41020989,-13.88678085,-14.40119736,-14.88020852,-15.38710525,-15.85994252,-16.36904306,-16.83842058,-17.34097817,-17.83658272,-18.30803814,-18.81943792,-19.29643468,-19.78993426,-20.27694526,-20.78393481,-21.23595957,-21.74325804,-22.22061994,-22.75331758,-23.22305749,-23.74820275,-24.252504,-24.86398507,-25.45130654,-26.22578925,-26.76372515,-27.53058449
epsilon,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
