n,200,400,600,800,1000,1200,1400,1600,1800,2000,2200,2400,2600,2800,3000,3200,3400,3600,3800,4000,4200,4400,4600,4800,5000,5200,5400,5600,5800,6000,6200,6400,6600,6800,7000,7200,7400,7600,7800,8000,8200,8400,8600,8800,9000,9200,9400,9600,9800,10000
k,200,400,600,800,1000,1200,1400,1600,1800,2000,2200,2400,2600,2800,3000,3200,3400,3600,3800,4000,4200,4400,4600,4800,5000,5200,5400,5600,5800,6000,6200,6400,6600,6800,7000,7200,7400,7600,7800,8000,8200,8400,8600,8800,9000,9200,9400,9600,9800,10000
our_tester,-1.730614153,-2.353355691,-2.913019811,-3.444033875,-3.955646131,-4.454937982,-4.945307651,-5.428266331,-5.906840419,-6.380453045,-6.849671154,-7.31623444,-7.779947137,-8.242238962,-8.702543162,-9.159523274,-9.615922374,-10.07207338,-10.52434024,-10.97677358,-11.42836188,-11.87917224,-12.32848347,-12.77719954,-13.22637913,-13.67280364,-14.12021688,-14.56542397,-15.01167716,-15.456573,-15.90087116,-16.34591832,-16.78864491,-17.23362202,-17.67469316,-18.11806569,-18.56022483,-19.00279416,-19.4448038,-19.88567654,-20.32876352,-20.77152327,-21.21440747,-21.66240901,-22.07795498,-22.54552409,-23.00544175,-23.39394997,-23.88453347,-24.38806584
chi_square,-1.714728131,-2.309870158,-2.850825873,-3.35911135,-3.858881966,-4.339009578,-4.80810769,-5.276679185,-5.738015161,-6.194409938,-6.649984362,-7.095625005,-7.540078432,-7.987890124,-8.428825918,-8.870587584,-9.312061232,-9.745783113,-10.17914073,-10.61458593,-11.05194063,-11.49212557,-11.92101728,-12.34912378,-12.77650156,-13.21155109,-13.64578908,-14.06939408,-14.4927002,-14.92532841,-15.34917221,-15.7824955,-16.20554469,-16.6383825,-17.06074514,-17.48010853,-17.9129107,-18.32701412,-18.76185522,-19.17840694,-19.59856053,-20.03142772,-20.45059878,-20.88330513,-21.30274164,-21.73102483,-22.15365099,-22.55704837,-22.9889395,-23.45852424
TV_tester,-1.587493252,-2.096606766,-2.569284446,-3.001196707,-3.414111816,-3.815657521,-4.220260369,-4.615753623,-4.994831864,-5.378706837,-5.754058108,-6.133559253,-6.508334299,-6.875700236,-7.240808055,-7.610681488,-7.980107839,-8.344830643,-8.701973586,-9.066492895,-9.426058116,-9.791432213,-10.14605972,-10.50421455,-10.86228493,-11.21869337,-11.58029456,-11.93065988,-12.28559644,-12.63840661,-12.99480672,-13.35125821,-13.70093919,-14.05387425,-14.40528876,-14.76397094,-15.11242973,-15.46507596,-15.81383128,-16.16440782,-16.52026426,-16.86546072,-17.21630269,-17.56490483,-17.91857988,-18.26886369,-18.61680641,-18.96091324,-19.30353042,-19.65139419
epsilon,0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
